"uid","domainID","siteID","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","archiveID","sampleTiming","scientificName","sex","archivedCount","archiveMedium","archiveVialIDList","archiveFacilityID","deprecatedVialID","samplingProtocolVersion","duplicatesInArchivePoolingQF"
"3AB91624E00142F2949622B9D64D02DD","D03","OSBS",29.712968,-81.998583,"WGS84",1718.5,35.6,1.6,"2014-04-09","2014-04-10","OSBS.2014.14.AEDHEN.F.A","field season","Aedes hendersoni","F",2,"Frozen -80C","OSBS.2014.14.AEDHEN.F.A.01",,"OSBS.2014.1.Aedes hendersoni.Female","NEON.DOC.014049vE",0
"DEAAB5B315C5479D9CE04322319059AA","D03","OSBS",29.692232,-81.971922,"WGS84",4507.6,34.6,14.2,"2014-04-09","2014-04-10","OSBS.2014.14.CULMEL.F.A","field season","Culiseta melanura","F",625,"Frozen -80C","OSBS.2014.14.CULMEL.F.A.01",,"OSBS.2014.1.Culiseta melanura.Female","NEON.DOC.014049vE",0
"C27BDA41A59E451CB948CF70691D179D","D03","OSBS",29.695029,-81.974488,"WGS84",4335.3,34.1,14.7,"2014-04-09","2014-04-10","OSBS.2014.14.CULNIG.F.A","field season","Culex nigripalpus","F",224,"Frozen -80C","OSBS.2014.14.CULNIG.F.A.01",,"OSBS.2014.1.Culex nigripalpus.Female","NEON.DOC.014049vE",0
"409B5CE1145441BBA17E58CB2A5C2DDA","D03","OSBS",29.692193,-81.964687,"WGS84",4438.8,36.3,8.0,"2014-04-09","2014-04-10","OSBS.2014.14.ANOQUA.F.A","field season","Anopheles quadrimaculatus","F",5,"Frozen -80C","OSBS.2014.14.ANOQUA.F.A.01",,"OSBS.2014.1.Anopheles quadrimaculatus.Female","NEON.DOC.014049vE",0
"5CF319D0B4C647EABC351EFEB928ABB4","D03","OSBS",29.686936,-81.962158,"WGS84",0.1,24.5,0.1,"2014-04-09","2014-04-10","OSBS.2014.14.CULSPP3.M.A","field season","Culex sp.","M",2,"Frozen -80C","OSBS.2014.14.CULSPP3.M.A.01",,"OSBS.2014.1.Culex spp.Male","NEON.DOC.014049vE",0
"B06CB538ADFE49F6BF2A5FDC14713ECD","D03","OSBS",29.706220,-81.970873,"WGS84",3799.5,33.4,3.1,"2014-04-09","2014-04-10","OSBS.2014.14.AEDVEX.F.A","field season","Aedes vexans","F",7,"Frozen -80C","OSBS.2014.14.AEDVEX.F.A.01",,"OSBS.2014.1.Aedes vexans.Female","NEON.DOC.014049vE",0
"B5132C4797F048568ABFDA0E3A726DDD","D03","OSBS",29.697594,-81.975244,"WGS84",4349.7,34.1,14.7,"2014-04-09","2014-04-10","OSBS.2014.14.CULERR.F.A","field season","Culex erraticus","F",165,"Frozen -80C","OSBS.2014.14.CULERR.F.A.01",,"OSBS.2014.1.Culex erraticus.Female","NEON.DOC.014049vE",0
"919F2FD3AE9B47CDB5D92C3AD98ABA2E","D03","OSBS",29.699353,-81.979209,"WGS84",4063.3,36.1,12.7,"2014-04-09","2014-04-10","OSBS.2014.14.MANTIT.F.A","field season","Mansonia titillans","F",16,"Frozen -80C","OSBS.2014.14.MANTIT.F.A.01",,"OSBS.2014.1.Mansonia titillans.Female","NEON.DOC.014049vE",0
"61AE10BD42A94D0B8747AFF352BB7E56","D03","OSBS",29.691633,-81.974267,"WGS84",4272.4,34.3,14.6,"2014-04-09","2014-04-10","OSBS.2014.14.CULSPP3.F.A","field season","Culex sp.","F",191,"Frozen -80C","OSBS.2014.14.CULSPP3.F.A.01",,"OSBS.2014.1.Culex spp.Female","NEON.DOC.014049vE",0
"8C146C9621E2411DA197E9119430352B","D03","OSBS",29.695780,-81.967819,"WGS84",3783.3,34.8,14.1,"2014-04-09","2014-04-10","OSBS.2014.14.AEDMIT.F.A","field season","Aedes mitchellae","F",11,"Frozen -80C","OSBS.2014.14.AEDMIT.F.A.01",,"OSBS.2014.1.Aedes mitchellae.Female","NEON.DOC.014049vE",0
"6F47C9A49FB744C2A5E323C4AD4987AB","D03","OSBS",29.682735,-81.971958,"WGS84",4431.4,35.8,13.1,"2014-04-09","2014-04-10","OSBS.2014.14.COQPER.M.A","field season","Coquillettidia perturbans","M",8,"Frozen -80C","OSBS.2014.14.COQPER.M.A.01",,"OSBS.2014.1.Coquillettidia perturbans.Female|OSBS.2014.1.Coquillettidia perturbans.Male","NEON.DOC.014049vE",0
"714AADCE5AA5470F9D72039DCEBCEB44","D03","OSBS",29.706217,-82.003589,"WGS84",2749.0,35.5,1.7,"2014-04-09","2014-04-10","OSBS.2014.14.AEDATL.F.A","field season","Aedes atlanticus","F",39,"Frozen -80C","OSBS.2014.14.AEDATL.F.A.01",,"OSBS.2014.1.Aedes atlanticus.Female","NEON.DOC.014049vE",0
"8D7992AC49AC46D6B86A99B514081D15","D03","OSBS",29.700109,-81.986659,"WGS84",4834.6,36.3,8.0,"2014-04-09","2014-04-10","OSBS.2014.14.AEDINF.F.A","field season","Aedes infirmatus","F",57,"Frozen -80C","OSBS.2014.14.AEDINF.F.A.01",,"OSBS.2014.1.Aedes infirmatus.Female","NEON.DOC.014049vE",0
"77B7EC7DDCF441B2B520270B88133FB5","D03","OSBS",29.725193,-81.987658,"WGS84",0.9,35.3,1.2,"2014-04-09","2014-04-10","OSBS.2014.14.CULRES.F.A","field season","Culex restuans","F",2,"Frozen -80C","OSBS.2014.14.CULRES.F.A.01",,"OSBS.2014.1.Culex restuans.Female","NEON.DOC.014049vE",0
"A5036F8A9A4E4203B3D2F00305A98C3F","D03","OSBS",29.688581,-81.979145,"WGS84",3844.4,37.5,11.3,"2014-04-09","2014-04-10","OSBS.2014.14.ANOSPP1.F.A","field season","Anopheles sp.","F",99,"Frozen -80C","OSBS.2014.14.ANOSPP1.F.A.01",,"OSBS.2014.1.Anopheles spp.Female","NEON.DOC.014049vE",0
"EC699A6FB9E34DD493E226BB5BFEB867","D03","OSBS",29.695298,-81.973955,"WGS84",4392.9,34.4,14.5,"2014-04-09","2014-04-10","OSBS.2014.14.CULSAL.F.A","field season","Culex salinarius","F",859,"Frozen -80C","OSBS.2014.14.CULSAL.F.A.01",,"OSBS.2014.1.Culex salinarius.Female","NEON.DOC.014049vE",0
"EA246DCE31004861B44519F1B2E32130","D03","OSBS",29.678604,-81.962459,"WGS84",0.6,48.1,0.8,"2014-04-09","2014-04-10","OSBS.2014.14.PSOCOL.F.A","field season","Psorophora columbiae","F",1,"Frozen -80C","OSBS.2014.14.PSOCOL.F.A.01",,"OSBS.2014.1.Psorophora columbiae.Female","NEON.DOC.014049vE",0
"E15586D5282D404FB2D5EF6E98990BA2","D03","OSBS",29.695132,-81.972757,"WGS84",4499.9,33.9,15.0,"2014-04-09","2014-04-10","OSBS.2014.14.ANOCRU.F.A","field season","Anopheles crucians","F",3000,"Frozen -80C","OSBS.2014.14.ANOCRU.F.A.02",,"OSBS.2014.1.Anopheles crucians.Female","NEON.DOC.014049vE",0
"35B037493574416783040A742705E165","D03","OSBS",29.706217,-82.003589,"WGS84",2749.0,35.5,1.7,"2014-04-09","2014-04-10","OSBS.2014.14.AEDCAN2.F.A","field season","Aedes canadensis","F",46,"Frozen -80C","OSBS.2014.14.AEDCAN2.F.A.01",,"OSBS.2014.1.Aedes canadensis.Female","NEON.DOC.014049vE",0
"2489C075C7F64C519C695EC8CD227205","D03","OSBS",29.692847,-81.974516,"WGS84",4275.1,35.2,13.6,"2014-04-09","2014-04-10","OSBS.2014.14.COQPER.F.A","field season","Coquillettidia perturbans","F",75,"Frozen -80C","OSBS.2014.14.COQPER.F.A.01",,"OSBS.2014.1.Coquillettidia perturbans.Female","NEON.DOC.014049vE",0
"CDBD1E93E89341DCA68E3701AFBBB489","D03","OSBS",29.684689,-82.017693,"WGS84",0.7,34.4,0.7,"2014-04-09","2014-04-10","OSBS.2014.14.PSOFER.F.A","field season","Psorophora ferox","F",1,"Frozen -80C","OSBS.2014.14.PSOFER.F.A.01",,"OSBS.2014.1.Psorophora ferox.Female","NEON.DOC.014049vE",0
"3666AC58DA46420AA3EDF037A0E69DDC","D03","OSBS",29.712968,-81.998583,"WGS84",1718.5,35.6,1.6,"2014-04-09","2014-04-10","OSBS.2014.14.ORTSIG.F.A","field season","Orthopodomyia signifera","F",2,"Frozen -80C","OSBS.2014.14.ORTSIG.F.A.01",,"OSBS.2014.1.Orthopodomyia signifera.Female","NEON.DOC.014049vE",0
"D5EDE26D462E43E79AE742C0123C320C","D03","OSBS",29.702842,-82.006092,"WGS84",3052.9,35.4,1.7,"2014-04-09","2014-04-10","OSBS.2014.14.AEDSPP.F.A","field season","Aedes sp.","F",32,"Frozen -80C","OSBS.2014.14.AEDSPP.F.A.01",,"OSBS.2014.1.Aedes spp.Female","NEON.DOC.014049vE",0
"B289E9AD4C60427BBCE0D3D8CC1BF47A","D03","OSBS",29.698235,-81.985860,"WGS84",3688.1,37.0,11.9,"2014-04-23","2014-04-24","OSBS.2014.16.ANOCRU.F.A","field season","Anopheles crucians","F",1098,"Frozen -80C","OSBS.2014.16.ANOCRU.F.A.01",,"OSBS.2014.2.Anopheles crucians.Female","NEON.DOC.014049vE",0
"258F2D5EC8674D7EB75D9CA3D3B532BA","D03","OSBS",29.700075,-82.000210,"WGS84",4359.8,36.9,12.0,"2014-04-23","2014-04-24","OSBS.2014.16.AEDINF.F.A","field season","Aedes infirmatus","F",30,"Frozen -80C","OSBS.2014.16.AEDINF.F.A.01",,"OSBS.2014.2.Aedes infirmatus.Female","NEON.DOC.014049vE",0
"F3B451480A3A4AEFADCA3F3F05A80398","D03","OSBS",29.700741,-82.009505,"WGS84",0.3,35.9,0.4,"2014-04-23","2014-04-24","OSBS.2014.16.AEDATL.F.A","field season","Aedes atlanticus","F",12,"Frozen -80C","OSBS.2014.16.AEDATL.F.A.01",,"OSBS.2014.2.Aedes atlanticus.Female","NEON.DOC.014049vE",0
"2B971417FB3D453E8153025E53195F94","D03","OSBS",29.698235,-81.985860,"WGS84",3688.1,37.0,11.9,"2014-04-23","2014-04-24","OSBS.2014.16.COQPER.F.A","field season","Coquillettidia perturbans","F",74,"Frozen -80C","OSBS.2014.16.COQPER.F.A.01",,"OSBS.2014.2.Coquillettidia perturbans.Female","NEON.DOC.014049vE",0
"6677DDD7E25941EB8F84857D4D249CEF","D03","OSBS",29.684689,-82.017693,"WGS84",0.7,34.4,0.7,"2014-04-23","2014-04-24","OSBS.2014.16.MANSPP.F.A","field season","Mansonia sp.","F",1,"Frozen -80C","OSBS.2014.16.MANSPP.F.A.01",,"OSBS.2014.2.Mansonia spp.Female","NEON.DOC.014049vE",0
"6F611D24090045AC9D2F9F90E9650D27","D03","OSBS",29.709372,-81.986611,"WGS84",4065.7,33.7,2.9,"2014-04-23","2014-04-24","OSBS.2014.16.AEDVEX.F.A","field season","Aedes vexans","F",6,"Frozen -80C","OSBS.2014.16.AEDVEX.F.A.01",,"OSBS.2014.2.Aedes vexans.Female","NEON.DOC.014049vE",0
"2708F174DDA243F9BD737F9C964E8392","D03","OSBS",29.698178,-81.992717,"WGS84",3644.2,35.9,12.9,"2014-04-23","2014-04-24","OSBS.2014.16.CULSPP3.F.A","field season","Culex sp.","F",22,"Frozen -80C","OSBS.2014.16.CULSPP3.F.A.01",,"OSBS.2014.2.Culex spp.Female","NEON.DOC.014049vE",0
"13AEDAB965174C1EAEB87A44F4E7085B","D03","OSBS",29.681650,-81.990075,"WGS84",2694.1,41.3,7.6,"2014-04-23","2014-04-24","OSBS.2014.16.COQPER.M.A","field season","Coquillettidia perturbans","M",3,"Frozen -80C","OSBS.2014.16.COQPER.M.A.01",,"OSBS.2014.2.Coquillettidia perturbans.Male","NEON.DOC.014049vE",0
"0CBD2C930AF54472A5550F75B174E7DC","D03","OSBS",29.694937,-81.981316,"WGS84",3699.1,37.5,11.3,"2014-04-23","2014-04-24","OSBS.2014.16.CULSAL.F.A","field season","Culex salinarius","F",25,"Frozen -80C","OSBS.2014.16.CULSAL.F.A.01",,"OSBS.2014.2.Culex salinarius.Female","NEON.DOC.014049vE",0
"E3C2F26ECB8845E6ABB49669346496C8","D03","OSBS",29.678604,-81.962459,"WGS84",0.6,48.1,0.8,"2014-04-23","2014-04-24","OSBS.2014.16.AEDFUL.F.A","field season","Aedes fulvus pallens","F",1,"Frozen -80C","OSBS.2014.16.AEDFUL.F.A.01",,"OSBS.2014.2.Aedes fulvus pallens.Female","NEON.DOC.014049vE",0
"4ACF1332CC7A41F9851295EA045D572F","D03","OSBS",29.697098,-81.981769,"WGS84",3738.7,37.4,11.5,"2014-04-23","2014-04-24","OSBS.2014.16.CULMEL.F.A","field season","Culiseta melanura","F",127,"Frozen -80C","OSBS.2014.16.CULMEL.F.A.01",,"OSBS.2014.2.Culiseta melanura.Female","NEON.DOC.014049vE",0
"9A7BAA47AC9C4FD48DB7DD75B11D547C","D03","OSBS",29.716567,-81.986528,"WGS84",962.3,33.5,2.7,"2014-04-23","2014-04-24","OSBS.2014.16.AEDALB.F.A","field season","Aedes albopictus","F",3,"Frozen -80C","OSBS.2014.16.AEDALB.F.A.01",,"OSBS.2014.2.Aedes albopictus.Female","NEON.DOC.014049vE",0
"9FDF5F3E33924F3F8F4F0B80FA448508","D03","OSBS",29.696271,-81.984164,"WGS84",3489.5,37.2,11.7,"2014-04-23","2014-04-24","OSBS.2014.16.CULERR.F.A","field season","Culex erraticus","F",192,"Frozen -80C","OSBS.2014.16.CULERR.F.A.01",,"OSBS.2014.2.Culex erraticus.Female","NEON.DOC.014049vE",0
"402B7D214C564881B506BEA9FDACDC39","D03","OSBS",29.702658,-81.998086,"WGS84",4205.2,34.9,3.6,"2014-04-23","2014-04-24","OSBS.2014.16.AEDTRI1.F.A","field season","Aedes triseriatus","F",9,"Frozen -80C","OSBS.2014.16.AEDTRI1.F.A.01",,"OSBS.2014.2.Aedes triseriatus.Female","NEON.DOC.014049vE",0
"7D5D482525374E5C9417A8BA1724B1F7","D03","OSBS",29.703834,-81.954643,"WGS84",0.3,32.0,0.7,"2014-04-23","2014-04-24","OSBS.2014.16.ANOQUA.F.A","field season","Anopheles quadrimaculatus","F",1,"Frozen -80C","OSBS.2014.16.ANOQUA.F.A.01",,"OSBS.2014.2.Anopheles quadrimaculatus.Female","NEON.DOC.014049vE",0
"7E635100387B41DDAFA4099C42CAB790","D03","OSBS",29.695390,-82.012235,"WGS84",1298.8,35.4,1.7,"2014-04-23","2014-04-24","OSBS.2014.16.PSOFER.F.A","field season","Psorophora ferox","F",10,"Frozen -80C","OSBS.2014.16.PSOFER.F.A.01",,"OSBS.2014.2.Psorophora ferox.Female","NEON.DOC.014049vE",0
"F7B82C6F4B0F424BA7A4B01F40564F63","D03","OSBS",29.687035,-81.957378,"WGS84",1880.7,41.4,10.1,"2014-04-23","2014-04-24","OSBS.2014.16.AEDMIT.F.A","field season","Aedes mitchellae","F",3,"Frozen -80C","OSBS.2014.16.AEDMIT.F.A.01",,"OSBS.2014.2.Aedes mitchellae.Female","NEON.DOC.014049vE",0
"0099254741FB425C81581B5AADA9968A","D03","OSBS",29.704575,-81.986667,"WGS84",3724.5,33.9,2.6,"2014-04-23","2014-04-24","OSBS.2014.16.CULNIG.F.A","field season","Culex nigripalpus","F",8,"Frozen -80C","OSBS.2014.16.CULNIG.F.A.01",,"OSBS.2014.2.Culex nigripalpus.Female","NEON.DOC.014049vE",0
"01F025A1A8814D5BA05CA1B77D3E00BB","D03","OSBS",29.699019,-81.983592,"WGS84",3662.3,36.5,12.4,"2014-04-23","2014-04-24","OSBS.2014.16.ANOSPP1.F.A","field season","Anopheles sp.","F",433,"Frozen -80C","OSBS.2014.16.ANOSPP1.F.A.01",,"OSBS.2014.2.Anopheles spp.Female","NEON.DOC.014049vE",0
"33BE87DD33B64A1AB38E393A6A5E5C40","D03","OSBS",29.696580,-81.992260,"WGS84",4113.1,36.8,12.0,"2014-04-23","2014-04-24","OSBS.2014.16.AEDSPP.F.A","field season","Aedes sp.","F",46,"Frozen -80C","OSBS.2014.16.AEDSPP.F.A.01",,"OSBS.2014.2.Aedes spp.Female","NEON.DOC.014049vE",0
"AE525820393A41B19B2C5E83E7C89E7C","D03","OSBS",29.697406,-81.996083,"WGS84",4072.3,36.5,12.4,"2014-04-23","2014-04-24","OSBS.2014.16.MANTIT.F.A","field season","Mansonia titillans","F",14,"Frozen -80C","OSBS.2014.16.MANTIT.F.A.01",,"OSBS.2014.2.Mansonia titillans.Female","NEON.DOC.014049vE",0
