"uid","domainID","siteID","plotID","trapID","collectDate","processingDate","identifiedDate","sampleID","individualID","specimenSource","taxonID","scientificName","taxonRank","identificationQualifier","scientificNameAuthorship","morphospeciesID","identificationReferences","identifiedBy","recordedBy","remarks","duplicateIndividualIDQF"
"09E772F01A62492B881EBEEB53B8BB2A","D10","STER","STER_035","S","2014-06-24","2014-11-25","2014-11-25","STER_035.S.20140624.PASELO.01","NEON.BET.D10.001226","vial of pooled individuals","PASELO","Pasimachus elongatus","species",,"LeConte",,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"D87ACC5B2447493C9EEF35347FB8C245","D10","STER","STER_035","E","2014-06-24","2014-11-25","2014-11-25","STER_035.E.20140624.oc.01","NEON.BET.D10.001230","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10mm, leg more rufous than body, enlarged femur on all legs",0
"23A3D1A208AA4417A71FFF1B93E14576","D10","STER","STER_035","E","2014-06-24","2014-11-25","2014-11-25","STER_035.E.20140624.oc.01","NEON.BET.D10.001231","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10mm, leg more rufous than body, enlarged femur on all legs",0
"313B74F293FF4EF093178D59C8E97313","D10","STER","STER_035","S","2014-06-24","2014-11-25","2014-11-25","STER_035.S.20140624.oc.01","NEON.BET.D10.001227","vial of pooled individuals",,,,,,"D10.2014.MorphC",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~6mm long black, anterior of pronotum forms obtuse angle, apex end of elytra hairy",0
"3A7F48D36941442F8A8406548F11B649","D10","STER","STER_035","E","2014-06-24","2014-11-25","2014-11-25","STER_035.E.20140624.oc.01","NEON.BET.D10.001228","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10mm, leg more rufous than body, enlarged femur on all legs",0
"794F664932D245608C152E475C9DD979","D10","STER","STER_035","E","2014-06-24","2014-11-25","2014-11-25","STER_035.E.20140624.oc.01","NEON.BET.D10.001229","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10mm, leg more rufous than body, enlarged femur on all legs",0
"C5E53A791236428D9CD55DDF0E42B1D6","D10","STER","STER_035","W","2014-06-24","2014-11-24","2014-11-25","STER_035.W.20140624.oc.01","NEON.BET.D10.001233","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","~10mm, leg more rufous than body, enlarged femur on all legs",2
"2F94A6EE1B994A8C8F3B7463E9677771","D10","STER","STER_035","W","2014-06-24","2014-11-25","2014-11-25","STER_035.W.20140624.oc.01","NEON.BET.D10.001233","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","about 10 mm in length. Black overall but legs more rufous than body. Enlarged femur on all legs. Single orbital setae. Similar to Morph G but more black and has a rounder pronotum.",2
"F070519AA99845E6B3974BBBB07EB680","D10","STER","STER_035","E","2014-06-24","2014-11-25","2014-11-25","STER_035.E.20140624.oc.01","NEON.BET.D10.001232","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10cm, leg more rufous than body, enlarged femur on all legs",0
"20340EBD4CA345969AB9CCBB25FA361B","D10","STER","STER_034","E","2014-06-24","2014-11-24","2014-11-24","STER_034.E.20140624.HARAMP.01","NEON.BET.D10.001129","vial of pooled individuals","HARAMP","Harpalus amputatus amputatus","subspecies",,"Say",,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"F78FEAE2E5D240149475D7D1BBCB3B36","D10","STER","STER_034","W","2014-06-24","2014-11-24","2014-11-24","STER_034.W.20140624.AMACAR.01","NEON.BET.D10.001131","vial of pooled individuals","AMACAR","Amara carinata","species",,"LeConte",,,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So",,0
"723B7F50F6C14E1D99AE28B757B72A9A","D10","STER","STER_034","E","2014-06-24","2014-11-24","2014-11-24","STER_034.E.20140624.OC.01","NEON.BET.D10.001130","vial of pooled individuals",,,,,,"D10.2014.MorphF",,"Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","Rjv/PyMx3k4oygLKYkCbuIDsccqDw9So","~10mm, leg more rufous than body, enlarged femur on all legs",0
"62C903E6848042D88FBAF86FB1CF3D70","D10","STER","STER_033","S","2014-06-24","2014-11-13","2014-11-17","STER_033.S.20140624.amacar.01","NEON.BET.D10.000986","vial of pooled individuals","AMACAR","Amara carinata","species","cf. species","LeConte",,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"E6AEB7ED73B841C19DA0E0B0604C9059","D10","STER","STER_033","S","2014-06-24","2014-11-13","2014-11-13","STER_033.S.20140624.amacar.01","NEON.BET.D10.000959","vial of pooled individuals","AMACAR","Amara carinata","species","cf. species","LeConte",,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"575287B6E8D642589C676778FDE56C10","D10","STER","STER_033","S","2014-06-24","2014-11-13","2014-11-13","STER_033.S.20140624.amacar.01","NEON.BET.D10.000955","vial of pooled individuals","AMACAR","Amara carinata","species","cf. species","LeConte",,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
"A5856EA48C714C969DDC7322640BCE08","D10","STER","STER_033","S","2014-06-24","2014-11-13","2014-11-13","STER_033.S.20140624.amacar.01","NEON.BET.D10.000957","vial of pooled individuals","AMACAR","Amara carinata","species","cf. species","LeConte",,,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",,0
